#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      238.6    85.7   101.3   154.3   172.4   231.1   252.0   264.1   272.2   283.8   297.9   329.7   448.6   838.4  3823.2   4942.6     5000  1744816737663  1744816742923
read      255.8   135.1    86.8   152.1   174.1   247.1   271.6   285.4   294.5   307.6   323.6   359.4   473.1  1740.2  7545.0   9883.4    10000  1744816744427  1744816749665
read      258.0   113.7    93.8   145.9   164.6   252.7   277.7   292.2   303.1   316.6   337.0   374.5   473.4   934.5  2987.6  14932.8    15000  1744816751169  1744816756371
read      270.2   150.4    86.8   140.8   156.8   265.9   296.0   312.6   324.1   339.7   361.5   400.0   494.1  1869.0  6699.2  19866.0    20000  1744816757875  1744816763075
read      280.6   118.6    93.8   140.2   155.6   274.2   310.3   330.5   345.1   365.4   393.9   443.0   614.0  1129.5  2949.3  25013.2    25000  1744816764580  1744816769779
read      277.5   105.3    86.8   138.7   152.7   277.0   316.0   336.8   351.7   370.3   395.7   433.3   513.4   771.3  2112.1  30151.6    30000  1744816771284  1744816776484
read      272.8   140.8    86.8   134.4   147.7   269.3   312.1   333.6   348.5   368.0   393.2   432.1   523.4   842.6  7471.9  34922.2    35000  1744816777988  1744816783192
read      277.0   117.1    86.8   134.7   148.2   272.9   320.0   343.9   361.6   381.8   407.5   448.3   534.6   837.6  2976.5  39950.4    40000  1744816784696  1744816789897
read      272.4   133.4    86.8   133.5   146.6   262.1   313.8   339.8   358.7   380.4   407.8   450.6   541.1   844.5  3190.6  44945.4    45000  1744816791401  1744816796607
read      278.5   139.9    86.8   131.7   145.0   261.4   315.7   344.2   365.5   390.8   423.5   472.8   667.0  1443.4  3232.0  50018.6    50000  1744816798111  1744816803313
read      280.2   137.6    86.8   131.7   146.1   266.5   322.3   352.0   372.8   397.5   428.3   473.2   609.7   870.2  4823.6  54862.9    55000  1744816804817  1744816810022
read      290.1   135.2    86.8   132.7   147.8   273.6   333.7   366.0   389.1   415.8   449.6   500.8   661.3  1066.3  2405.8  59995.2    60000  1744816811526  1744816816731
read      289.3   156.7    86.8   132.8   148.6   270.6   329.7   362.0   385.1   410.8   442.6   492.0   633.5  1858.0  4645.9  64802.0    65000  1744816818235  1744816823436
read      288.9   126.2    80.4   136.3   152.2   272.2   330.4   363.2   386.5   412.9   445.6   495.1   620.0   846.6  2382.3  69930.8    70000  1744816824941  1744816830144
read      283.7   126.5    86.8   135.2   151.5   266.4   322.8   355.0   378.0   403.9   436.1   485.3   603.1   863.3  2892.5  75235.9    75000  1744816831648  1744816836850
read      301.6   142.3    80.4   140.0   158.3   286.2   341.0   372.3   395.1   421.6   455.0   507.2   672.2  1167.7  3969.7  80080.0    80000  1744816838353  1744816843555
read      308.9   128.1    86.8   145.6   165.2   291.7   348.8   381.8   404.6   432.3   467.7   526.4   685.7  1005.8  1923.5  85047.2    85000  1744816845059  1744816850260
read      335.0   167.0    80.4   155.5   178.0   313.2   374.9   410.4   435.7   467.1   508.4   580.6   748.9  1261.1  6174.0  89596.3    90000  1744816851765  1744816856966
read      556.9   259.4    86.8   240.4   295.2   509.2   604.4   679.8   744.6   821.3   906.4  1007.0  1177.5  1613.4  7424.8  94365.2    95000  1744816858470  1744816863670
read      722.5   302.9   109.4   441.9   487.9   630.8   702.0   817.5   967.1  1064.7  1144.2  1231.9  1370.0  3024.8  7494.0  90060.7   100000  1744816865175  1744816870376
read      695.5   300.7   118.1   425.4   466.5   607.2   679.7   798.7   939.2  1025.7  1095.3  1177.4  1321.5  3098.0  7519.9  93610.2   105000  1744816871881  1744816877081
read      672.5   278.1   109.4   415.1   451.9   580.2   655.5   817.9   930.8   999.3  1061.3  1134.3  1259.2  1788.9  7441.8  96828.6   110000  1744816878586  1744816883785
read      641.3   261.4   101.3   384.1   422.7   549.4   637.4   815.3   896.9   957.4  1008.9  1075.2  1183.6  1702.3  7340.7 100974.4   115000  1744816885291  1744816890490
read      649.6   278.7   118.1   391.5   428.7   563.9   646.0   805.0   892.6   958.3  1017.4  1087.7  1210.3  1616.2  7498.4 100109.6   120000  1744816891995  1744816897201
read      675.7   278.2   118.1   419.4   455.5   582.3   653.6   824.4   940.4  1007.3  1066.9  1138.9  1258.3  1546.7  7462.7  96472.8   125000  1744816898705  1744816903907
read      687.7   286.5   118.1   439.4   474.1   590.7   651.6   790.2   956.1  1033.5  1092.6  1163.1  1272.3  2245.3  7519.4  94899.2   130000  1744816905412  1744816910615
read      693.0   293.7   101.3   428.8   468.7   598.3   670.9   817.7   954.1  1032.9  1095.6  1169.4  1283.2  2761.4  7692.5  94149.8   135000  1744816912120  1744816917322
read      677.7   281.3   109.4   398.8   442.2   590.0   684.9   836.2   925.9   995.1  1059.9  1139.1  1279.6  1949.8  7456.9  96089.6   140000  1744816918827  1744816924039
read      678.9   283.5   118.1   412.2   451.1   589.5   673.2   822.5   929.8  1001.0  1065.4  1142.9  1268.3  1771.0  7715.5  96055.0   145000  1744816925544  1744816930745
read      666.1   285.5   118.1   388.4   432.1   578.9   674.5   823.1   910.8   980.4  1045.3  1119.8  1263.1  2804.4  7446.2  97668.1   150000  1744816932250  1744816937454
read      701.2   296.2   101.3   431.1   473.5   609.8   683.7   824.2   955.4  1037.7  1105.8  1179.9  1316.7  2336.1  7489.1  93081.7   155000  1744816938958  1744816944160
read      673.1   271.4   101.3   395.3   439.7   587.0   683.7   830.6   919.1   989.2  1054.9  1133.0  1269.6  1802.4  7359.6  96691.9   160000  1744816945664  1744816950866
read      640.9   261.9   118.1   392.4   428.3   547.1   631.7   814.7   896.8   957.5  1008.7  1073.1  1180.5  1584.1  7413.2 101451.8   165000  1744816952372  1744816957573
read      675.1   292.9   109.4   405.3   443.9   582.1   679.5   845.5   932.9   995.2  1055.3  1128.7  1274.0  1940.3  7645.7  96556.2   170000  1744816959078  1744816964279
read      658.1   274.9   118.1   397.2   437.3   568.4   653.1   817.4   908.0   974.6  1035.2  1101.2  1245.4  1864.5  7470.1  98937.6   175000  1744816965783  1744816970987
read      724.4   316.9    93.8   387.7   447.6   638.9   750.4   879.0   966.1  1047.5  1130.6  1237.8  1487.6  3047.5  7480.3  89871.0   180000  1744816972492  1744816977700
